Country,Year,GDP (in Trillions USD),GDP per Capita (in USD),Population (in Millions),Literacy Rate (%),Poverty Rate (%),Unemployment Rate (%),"Crime Rate (per 100,000)"
USA,2000,10.25,36329.97026,282.162411,100.78,11.3,4.0,5.51
Russia,2000,0.261,1771.594116,146.596869,103.55,29.0,9.8,20.42
Canada,2000,0.7448,24271.00206,30.68573,98.31,9.5,6.8,1.79
China,2000,1.211,959.3604314,1262.645,98.65,49.8,3.1,1.57
India,2000,0.476,442.0353304,1059.633675,73.11,37.2,7.86,3.09
Australia,2000,0.43,21870.416,19.028802,103.55,12.4,6.3,1.17
USA,2001,10.58,37133.6204,284.968955,103.26,11.5,4.7,5.75
Russia,2001,0.345,2100.352539,145.976482,97.61,28.7,8.9,19.47
Canada,2001,0.739,23822.09621,31.020855,94.74,9.6,7.2,1.73
China,2001,1.339,1053.112314,1271.85,95.93,49.2,3.2,1.56
India,2001,0.492,449.9103137,1078.970907,71.11,36.8,8.04,3.17
Australia,2001,0.434,19695.7297,19.274701,99.89,12.2,6.6,1.14
USA,2002,10.93,37997.74243,287.625193,97.12,12.0,5.8,5.68
Russia,2002,0.345,2377.529541,145.306497,103.36,28.0,8.0,19.59
Canada,2002,0.7606,24256.01923,31.359199,96.82,9.7,7.6,1.79
China,2002,1.471,1148.514257,1280.4,93.02,48.6,4.0,1.55
India,2002,0.515,468.8455131,1098.313039,70.6,36.0,8.25,3.23
Australia,2002,0.45,20301.8432,19.49521,97.61,12.0,6.4,1.11
USA,2003,11.46,39490.30239,290.107933,102.76,12.1,6.0,5.66
Russia,2003,0.43,2975.123047,144.648618,97.61,27.5,8.3,19.44
Canada,2003,0.8955,28301.86459,31.642461,99.3,9.7,7.6,1.79
China,2003,1.66,1288.637491,1288.4,93.51,48.0,4.3,1.56
India,2003,0.586,543.8450534,1117.415123,77.18,35.5,8.4,3.32
Australia,2003,0.503,23718.1339,19.720737,103.95,11.8,6.1,1.11
USA,2004,12.22,41724.6412,292.805298,101.97,12.0,5.5,5.64
Russia,2004,0.591,4102.364746,144.067316,95.93,27.0,7.9,18.79
Canada,2004,1.027,32145.54126,31.938807,96.13,9.5,7.2,1.76
China,2004,1.955,1508.667916,1296.075,95.06,47.2,4.2,1.54
India,2004,0.72,624.108803,1136.264583,73.19,34.8,8.55,3.37
Australia,2004,0.609,30836.7307,19.932722,95.83,11.5,5.4,1.09
USA,2005,13.04,44123.39965,295.516599,94.05,12.3,5.1,5.74
Russia,2005,0.764,5323.455078,143.518814,99.3,26.4,7.6,17.91
Canada,2005,1.173,36383.66001,32.242732,96.03,9.4,6.8,1.75
China,2005,2.286,1753.414192,1303.72,94.77,46.3,4.1,1.52
India,2005,0.834,710.5112225,1154.638713,77.03,33.8,8.7,3.39
Australia,2005,0.692,34479.76793,20.176844,99.79,11.3,5.0,1.05
USA,2006,13.82,46301.98765,298.379912,103.85,12.0,4.4,5.63
Russia,2006,0.989,6920.199707,143.049637,97.22,25.8,7.2,16.99
Canada,2006,1.165,40504.0371,32.571193,99.79,9.2,6.3,1.73
China,2006,2.752,2099.21943,1311.02,93.99,45.5,4.1,1.51
India,2006,0.949,802.013742,1172.373788,74.44,32.5,8.61,3.41
Australia,2006,0.794,36595.70715,20.450966,94.45,11.0,4.8,1.04
USA,2007,14.47,48050.22741,301.231207,103.85,12.5,4.6,5.42
Russia,2007,1.223,9101.239258,142.805114,98.9,25.2,6.1,15.91
Canada,2007,1.469,44660.08389,32.888886,95.34,9.1,6.0,1.69
China,2007,3.55,2693.958732,1317.885,100.69,44.6,4.0,1.5
India,2007,1.237,1022.732467,1189.691809,74.44,31.2,8.53,3.42
Australia,2007,0.982,41051.61207,20.827622,94.84,10.8,4.4,1.02
USA,2008,14.77,48570.05943,304.093966,96.62,13.2,5.8,5.39
Russia,2008,1.66,11635.28418,142.742366,102.66,24.8,6.2,14.88
Canada,2008,1.553,46710.25269,33.247298,96.72,9.3,6.2,1.67
China,2008,4.594,3468.327063,1324.655,99.13,44.0,4.2,1.47
India,2008,1.224,993.5034053,1206.734806,77.26,30.4,8.49,3.45
Australia,2008,1.099,49701.28178,21.249199,99.89,11.0,4.2,1.01
USA,2009,14.48,47194.95009,306.771529,102.56,14.3,9.3,5.15
Russia,2009,1.222,8562.824219,142.785348,103.06,24.5,8.4,14.15
Canada,2009,1.375,40874.88319,33.630069,103.45,9.5,8.3,1.65
China,2009,5.102,3832.227457,1331.26,93.22,43.2,4.3,1.45
India,2009,1.341,1096.636136,1223.64016,72.08,29.0,8.41,3.49
Australia,2009,0.921,42816.5674,21.691653,98.41,11.5,5.6,0.99
USA,2010,15.05,48650.66432,309.327143,98.9,15.1,9.6,5.08
Russia,2010,1.524,10674.99023,142.849468,98.31,23.5,7.4,13.27
Canada,2010,1.617,47560.6666,34.005902,98.31,9.2,8.0,1.63
China,2010,6.087,4550.473944,1337.705,95.16,42.4,4.1,1.44
India,2010,1.676,1350.63447,1240.61362,71.85,28.0,8.32,3.5
Australia,2010,1.136,52147.02,22.03175,94.74,11.2,5.2,0.96
USA,2011,15.6,50065.97895,311.583481,102.96,15.1,8.9,5.04
Russia,2011,2.031,14305.33203,143.018195,99.1,22.9,6.5,12.8
Canada,2011,1.793,52223.85884,34.339221,95.34,9.0,7.4,1.62
China,2011,7.552,5614.386022,1345.035,93.22,41.5,4.1,1.43
India,2011,1.828,1449.603301,1257.621191,76.44,27.0,8.22,3.52
Australia,2011,1.482,62609.6,22.340024,94.45,11.0,5.1,0.94
USA,2012,16.25,51784.41147,313.877662,103.55,14.9,8.1,5.05
Russia,2012,2.21,15401.85156,143.378447,98.21,22.3,5.5,12.44
Canada,2012,1.828,52670.34473,34.713395,101.47,8.8,7.3,1.6
China,2012,8.532,6300.58218,1354.19,96.13,40.7,4.1,1.42
India,2012,1.844,1434.017987,1274.487215,76.29,26.0,8.16,3.54
Australia,2012,1.532,68078.04423,22.733465,99.89,10.8,5.2,0.92
USA,2013,16.88,53409.75078,316.059947,96.72,14.5,7.4,4.87
Russia,2013,2.297,15941.44824,143.805638,95.34,21.8,5.3,12.19
Canada,2013,1.843,52638.11872,35.080992,99.5,8.7,7.1,1.59
China,2013,9.57,7020.386074,1363.24,93.61,39.9,4.1,1.41
India,2013,1.872,1438.057005,1291.132063,71.26,25.5,8.09,3.56
Australia,2013,1.554,68198.41934,23.128129,94.45,10.5,5.7,0.9
USA,2014,17.61,55304.31553,318.386329,100.78,14.3,6.2,4.86
Russia,2014,2.064,14055.47266,144.237223,100.48,21.3,5.2,11.94
Canada,2014,1.806,50960.84312,35.434066,95.63,8.5,6.9,1.57
China,2014,10.48,7636.07434,1371.86,100.98,39.1,4.0,1.4
India,2014,2.039,1559.863779,1307.246509,71.56,24.8,7.99,3.58
Australia,2014,1.483,62558.24388,23.475686,96.62,10.2,6.0,0.89
USA,2015,18.3,57040.20821,320.738994,103.95,13.9,5.3,4.87
Russia,2015,1.366,9277.713867,144.640716,102.47,20.7,5.4,11.7
Canada,2015,1.557,43594.1941,35.704498,97.32,8.4,6.8,1.56
China,2015,11.06,8016.445595,1379.86,97.58,38.4,4.0,1.39
India,2015,2.107,1590.174331,1322.866505,72.3,23.8,7.89,3.6
Australia,2015,1.221,56758.8692,23.815995,101.77,10.0,6.1,0.87
USA,2016,18.8,58206.61419,323.071755,96.72,13.8,4.9,4.88
Russia,2016,1.282,8663.158203,145.01546,100.98,20.2,5.5,11.46
Canada,2016,1.528,42314.06158,36.110803,103.65,8.3,6.7,1.54
China,2016,11.23,8094.390167,1387.79,93.7,37.6,4.0,1.38
India,2016,2.292,1714.279537,1338.63634,76.29,22.9,7.83,3.62
Australia,2016,1.257,49918.79393,24.190907,100.29,9.8,5.8,0.85
USA,2017,19.61,60322.26142,325.122128,97.42,12.7,4.4,4.87
Russia,2017,1.577,10658.91309,145.29326,99.1,19.7,5.2,11.22
Canada,2017,1.649,45129.62812,36.545075,99.1,8.2,6.3,1.53
China,2017,12.31,8817.045608,1396.215,94.96,36.9,3.9,1.37
India,2017,2.651,1957.969813,1354.19568,73.04,21.9,7.72,3.64
Australia,2017,1.374,53954.5535,24.592588,103.85,9.5,5.6,0.84
USA,2018,20.66,63201.04585,326.838199,100.88,12.3,3.9,4.86
Russia,2018,1.58,11211.8877,145.398106,98.41,19.1,4.8,10.98
Canada,2018,1.66,46539.17616,37.07262,102.66,8.0,5.8,1.51
China,2018,13.89,9905.406383,1402.76,98.55,36.0,3.8,1.36
India,2018,2.719,1974.377731,1369.003306,77.55,20.8,7.61,3.66
Australia,2018,1.441,57273.52048,24.963258,101.97,9.3,5.3,0.82
USA,2019,21.52,65548.07078,328.329953,100.98,12.3,3.7,4.85
Russia,2019,1.7,11447.70117,145.453291,100.98,18.5,4.6,10.75
Canada,2019,1.744,46352.86934,37.618495,95.53,7.9,5.7,1.5
China,2019,14.28,10143.86022,1407.745,93.61,35.2,3.8,1.35
India,2019,2.87,2050.1638,1383.11205,75.11,20.0,7.49,3.68
Australia,2019,1.439,55049.57192,25.334826,103.85,9.1,5.2,0.81
USA,2020,21.32,64317.39891,331.526933,96.92,13.4,8.1,4.88
Russia,2020,1.483,10108.32715,145.245148,98.7,18.0,5.6,10.52
Canada,2020,1.656,43537.8393,38.028638,100.78,8.2,9.5,1.48
China,2020,14.69,10408.71955,1411.1,94.67,34.5,3.9,1.34
India,2020,2.935,1915.551588,1396.387127,75.7,19.5,8.5,3.69
Australia,2020,1.36,51868.24756,25.649248,101.87,10.1,6.9,0.8
USA,2021,23.59,71055.87619,332.048977,99.69,12.9,5.4,4.88
Russia,2021,1.776,12521.52246,144.746762,102.17,17.7,4.3,10.29
Canada,2021,2.007,52496.84417,38.239864,102.56,8.0,7.5,1.47
China,2021,17.82,12617.5051,1412.36,101.36,33.7,3.8,1.33
India,2021,3.176,2250.179018,1407.563842,76.44,19.0,8.2,3.71
Australia,2021,1.538,60697.24544,25.685412,97.22,9.9,5.2,0.78
USA,2022,25.74,77246.67388,333.271411,99.99,12.6,3.6,4.89
Russia,2022,2.125,15445.24219,144.236933,96.23,17.2,4.1,10.06
Canada,2022,2.161,55509.39318,38.939056,103.75,7.8,5.0,1.46
China,2022,17.88,12662.58317,1412.175,99.04,33.0,3.7,1.32
India,2022,3.389,2366.309609,1417.173173,72.0,18.2,5.5,3.73
Australia,2022,1.686,65077.67667,26.014399,100.29,9.7,3.7,0.77
USA,2023,21.36,81695.18707,334.914895,102.27,12.3,3.5,4.91
Russia,2023,2.096,13817.0459,143.82613,95.24,16.8,4.0,9.83
Canada,2023,2.14,53371.69743,40.097761,95.53,7.7,5.1,1.44
China,2023,17.79,12614.06099,1410.71,97.78,32.4,3.5,1.31
India,2023,3.726,2484.845429,1428.627663,74.67,17.6,4.17,3.75
Australia,2023,1.766,64711.7656,26.638544,94.35,9.5,3.5,0.75
